종목코드,종목명,시장,현재가,20일평균,상승률,거래량,평균거래량,거래량비율,신규여부,최초발견일,발견횟수,연속발견횟수
005380,현대차,KOSPI,296500,275025,7.81,1120919,927232,1.21,False,2025-12-11,14,1
000270,기아,KOSPI,123500,117125,5.44,652732,873998,0.75,False,2025-12-11,14,1
005935,삼성전자우,KOSPI,81300,76960,5.64,1639620,2303844,0.71,False,2025-12-11,14,1
005930,삼성전자,KOSPI,108100,102325,5.64,12483684,17456491,0.72,False,2025-12-11,14,1
267260,HD현대일렉트릭,KOSPI,851000,804600,5.77,119796,148306,0.81,False,2025-12-11,15,1
028260,삼성물산,KOSPI,251500,231500,8.64,204006,368038,0.55,False,2025-12-11,14,1
010130,고려아연,KOSPI,1543000,1265500,21.93,25628,30672,0.84,False,2025-12-11,14,1
012330,현대모비스,KOSPI,362500,318150,13.94,257052,256830,1.0,False,2025-12-11,14,1
009150,삼성전기,KOSPI,272000,243850,11.54,577847,653570,0.88,False,2025-12-11,14,1
003670,포스코퓨처엠,KOSPI,220000,205865,6.87,287285,292779,0.98,False,2025-12-11,14,1
247540,에코프로비엠,KOSDAQ GLOBAL,173300,155025,11.79,559367,566104,0.99,False,2025-12-11,14,1
010120,LS ELECTRIC,KOSPI,501000,473150,5.89,127908,198638,0.64,False,2025-12-11,14,1
086520,에코프로,KOSDAQ GLOBAL,112700,91750,22.83,3480893,4473977,0.78,False,2025-12-11,14,1
066570,LG전자,KOSPI,95400,89790,6.25,501749,703334,0.71,False,2025-12-11,15,1
086280,현대글로비스,KOSPI,180900,168345,7.46,198227,154483,1.28,False,2025-12-11,14,1
007660,이수페타시스,KOSPI,149800,135755,10.35,2131379,2052514,1.04,False,2025-12-11,14,1
298380,에이비엘바이오,KOSDAQ,198000,184070,7.57,744700,1609263,0.46,False,2025-12-11,14,1
277810,레인보우로보틱스,KOSDAQ,471500,413300,14.08,241196,259006,0.93,False,2025-12-11,14,1
307950,현대오토에버,KOSPI,299500,223825,33.81,330564,291608,1.13,False,2025-12-11,14,1
000720,현대건설,KOSPI,74050,66197,11.86,2891600,1840737,1.57,False,2025-12-11,14,1
180640,한진칼,KOSPI,111700,103360,8.07,52788,82358,0.64,False,2025-12-11,14,1
064400,LG씨엔에스,KOSPI,64600,59550,8.48,1599654,1142090,1.4,False,2025-12-11,14,1
011070,LG이노텍,KOSPI,296500,255400,16.09,148119,155762,0.95,False,2025-12-11,14,1
950160,코오롱티슈진,KOSDAQ,81400,71620,13.66,306224,956595,0.32,False,2025-12-11,14,1
454910,두산로보틱스,KOSPI,82700,76315,8.37,422921,425590,0.99,False,2025-12-11,14,1
000250,삼천당제약,KOSDAQ,235500,220275,6.91,104490,130801,0.8,False,2025-12-11,14,1
108490,로보티즈,KOSDAQ,303500,237315,27.89,1697560,1024821,1.66,False,2025-12-11,14,1
022100,포스코DX,KOSPI,27250,25877,5.3,496394,581443,0.85,False,2025-12-11,8,1
214150,클래시스,KOSDAQ GLOBAL,59200,55720,6.25,336819,242736,1.39,False,2025-12-11,13,1
052690,한전기술,KOSPI,100800,92920,8.48,477976,176881,2.7,False,2025-12-11,12,1
017800,현대엘리베이터,KOSPI,91900,85805,7.1,194923,318363,0.61,False,2025-12-11,11,1
026960,동서,KOSPI,29800,27717,7.51,674427,128978,5.23,False,2025-12-11,4,1
042670,HD현대인프라코어,KOSPI,16630,14628,13.69,2804158,1137154,2.47,False,2025-12-11,15,1
226950,올릭스,KOSDAQ,142100,130520,8.87,1507447,871693,1.73,False,2025-12-11,5,1
071970,HD현대마린엔진,KOSPI,86300,81460,5.94,116819,257069,0.45,False,2025-12-11,11,1
