테마번호,테마명,전일대비,최근3일등락률,상승,보합,하락,주도주1,주도주1코드,주도주2,주도주2코드,페이지
322,건설 중소형,+5.52%,-1.76%,24,0,2,신원종합개..,017000,상지건설,042940,1
44,시멘트/레미콘,+4.57%,-0.18%,12,1,2,삼표시멘트,038500,모헨즈,006920,1
164,손해보험,+4.10%,-1.00%,7,1,0,삼성화재,000810,서울보증보..,031210,1
124,제대혈,+3.76%,-0.40%,3,0,2,녹십자,006280,지씨셀,144510,1
177,LPG(액화석유가스),+3.33%,0.00%,6,0,3,대성산업,128820,중앙에너비..,000440,1
546,마이코플라스마 폐렴,+3.31%,-0.42%,11,0,1,엑세스바이..,950130,팜젠사이언..,004720,1
181,테마파크,+3.19%,-0.80%,6,0,0,닷밀,464580,한국종합기..,023350,1
209,터치패널(스마트폰/태블릿PC 등),+3.13%,-0.82%,5,0,3,하이딥,365590,베셀,177350,1
376,유전자 치료제/분석,+3.02%,+0.07%,33,1,6,지니너스,389030,엑세스바이..,950130,1
141,종합 물류,+2.74%,-0.31%,13,0,2,KCTC,009070,한솔로지스..,009180,1
154,건설 대표주,+2.72%,-0.74%,6,0,0,HDC현대..,294870,대우건설,047040,1
467,모더나(MODERNA),+2.69%,+0.42%,4,1,1,녹십자,006280,에스티팜,237690,1
318,백화점,+2.59%,-0.52%,6,0,0,현대백화점,069960,신세계,004170,1
90,수산,+2.51%,-0.38%,10,0,0,사조산업,007160,한성기업,003680,1
407,호텔/리조트,+2.44%,+0.21%,10,0,4,서부T&D,006730,HDC현대..,294870,1
330,페인트,+2.42%,-0.42%,7,0,1,노루홀딩스,000320,노루페인트,090350,1
79,자원개발,+2.33%,-0.37%,8,1,5,대성산업,128820,LX인터내..,001120,1
516,엠폭스(원숭이두창),+2.32%,-0.75%,17,1,3,엑세스바이..,950130,팜젠사이언..,004720,1
493,mRNA(메신저 리보핵산),+2.30%,+0.86%,12,1,2,녹십자,006280,올릭스,226950,1
149,원격진료/비대면진료(U-Healthcare),+2.28%,+0.80%,15,1,4,스피어,347700,제이엘케이,322510,1
563,낙태/피임,+2.24%,+2.54%,3,0,1,명문제약,017180,현대약품,004310,1
