class,score,종목명,종목코드,시장,현재가,today_return,이유,mode
A,14,금양,001570,KOSPI,9900,990000000000000.0,거래량 전일 3배↑; 20일 고점 돌파; 장대양봉(몸통 70%+),monitoring
A,14,카프로,006380,KOSPI,3660,366000000000000.0,거래량 전일 3배↑; 20일 고점 돌파; 장대양봉(몸통 70%+),monitoring
A,14,서희건설,035890,KOSDAQ,1623,162300000000000.0,거래량 전일 3배↑; 20일 고점 돌파; 장대양봉(몸통 70%+),monitoring
A,14,비덴트,121800,KOSDAQ,3320,332000000000000.0,거래량 전일 3배↑; 20일 고점 돌파; 장대양봉(몸통 70%+),monitoring
A,14,위니아에이드,377460,KOSDAQ,4080,407999999999999.94,거래량 전일 3배↑; 20일 고점 돌파; 장대양봉(몸통 70%+),initial
A,14,인트로메딕,150840,KOSDAQ,5850,585000000000000.0,거래량 전일 3배↑; 20일 고점 돌파; 장대양봉(몸통 70%+),monitoring
A,14,파멥신,208340,KOSDAQ,2915,291500000000000.0,거래량 전일 3배↑; 20일 고점 돌파; 장대양봉(몸통 70%+),monitoring
A,14,푸른소나무,057880,KOSDAQ,8790,878999999999999.9,거래량 전일 3배↑; 20일 고점 돌파; 장대양봉(몸통 70%+),monitoring
A,14,삼익THK,004380,KOSPI,9960,996000000000000.0,거래량 전일 3배↑; 20일 고점 돌파; 장대양봉(몸통 70%+),monitoring
A,14,현대사료,016790,KOSDAQ,994,99399999999999.98,거래량 전일 3배↑; 20일 고점 돌파; 장대양봉(몸통 70%+),monitoring
A,14,DH오토넥스,000300,KOSPI,1984,198399999999999.97,거래량 전일 3배↑; 20일 고점 돌파; 장대양봉(몸통 70%+),monitoring
A,14,버킷스튜디오,066410,KOSDAQ,1153,115300000000000.0,거래량 전일 3배↑; 20일 고점 돌파; 장대양봉(몸통 70%+),monitoring
A,14,코다코,046070,KOSDAQ,10280,1028000000000000.0,거래량 전일 3배↑; 20일 고점 돌파; 장대양봉(몸통 70%+),monitoring
A,14,대동전자,008110,KOSPI,15040,1504000000000000.0,거래량 전일 3배↑; 20일 고점 돌파; 장대양봉(몸통 70%+),monitoring
A,14,DMS,068790,KOSDAQ,6330,633000000000000.0,거래량 전일 3배↑; 20일 고점 돌파; 장대양봉(몸통 70%+),monitoring
A,14,효성화학,298000,KOSPI,38900,3890000000000000.0,거래량 전일 3배↑; 20일 고점 돌파; 장대양봉(몸통 70%+),monitoring
A,14,인피니트헬스케어,071200,KOSDAQ,5860,586000000000000.0,거래량 전일 3배↑; 20일 고점 돌파; 장대양봉(몸통 70%+),monitoring
