종목코드,종목명,시장,class,score,현재가,today_return,mode,이유
034730,SK,KOSPI,C,3,261500,-2.97,initial,20일선 위; 거래량 증가
033780,KT&G,KOSPI,C,3,141600,-0.42,initial,거래량 증가
009150,삼성전기,KOSPI,C,3,269500,-0.92,initial,20일선 위
138040,메리츠금융지주,KOSPI,C,2,108500,-0.91,initial,거래량 증가
010120,LS ELECTRIC,KOSPI,C,3,497000,-2.74,initial,20일선 위; 거래량 증가
066570,LG전자,KOSPI,C,2,94700,-1.25,initial,20일선 위; 거래량 증가
018260,삼성에스디에스,KOSPI,C,3,174400,-0.29,initial,20일선 위; 거래량 증가
000150,두산,KOSPI,C,2,848000,-4.5,initial,거래량 증가
003550,LG,KOSPI,C,3,81700,-1.92,initial,20일선 위; 거래량 증가
298380,에이비엘바이오,KOSDAQ,C,2,196300,-3.06,initial,20일선 위
047810,한국항공우주,KOSPI,C,2,109600,-0.09,initial,20일선 위; 거래량 증가
323410,카카오뱅크,KOSPI,C,2,21450,-0.92,initial,거래량 증가
326030,SK바이오팜,KOSPI,C,2,135700,-1.24,initial,20일선 위; 거래량 증가
007660,이수페타시스,KOSPI,C,2,148200,0.0,initial,20일선 위; 거래량 증가
017670,SK텔레콤,KOSPI,C,3,53400,-0.74,initial,거래량 증가
277810,레인보우로보틱스,KOSDAQ,C,3,470000,-0.84,initial,20일선 위
278470,에이피알,KOSPI,C,2,253500,-0.59,initial,20일선 위
272210,한화시스템,KOSPI,C,2,48050,0.42,initial,다중 조건 충족
005387,현대차2우B,KOSPI,C,2,204500,-2.62,initial,20일선 위; 거래량 증가
079550,LIG넥스원,KOSPI,C,2,372500,-3.5,initial,거래량 증가
039490,키움증권,KOSPI,C,2,277500,-2.46,initial,거래량 증가
950160,코오롱티슈진,KOSDAQ,C,2,81500,-2.98,initial,20일선 위
028300,HLB,KOSDAQ,C,3,48300,-1.13,initial,20일선 위; 거래량 증가
000250,삼천당제약,KOSDAQ,C,2,237000,-0.84,initial,20일선 위
006260,LS,KOSPI,C,2,183400,-1.98,initial,거래량 증가
001040,CJ,KOSPI,C,2,182200,0.0,initial,20일선 위; 거래량 증가
454910,두산로보틱스,KOSPI,C,3,83500,-1.53,initial,20일선 위; 거래량 증가
