class,score,종목명,종목코드,시장,현재가,today_return,이유,mode
A,10,삼성화재,000810,KOSPI,630000,27.14,20일 고점 돌파; 장대양봉(몸통 70%+),monitoring
A,10,HD현대미포,010620,KOSPI,223000,2.23e+16,거래량 전일 3배↑; 장대양봉(몸통 70%+),monitoring
A,10,한전기술,052690,KOSPI,101300,4.33,거래량 전일 3배↑; 20일 고점 근접; 장대양봉(몸통 70%+),monitoring
A,8,삼성카드,029780,KOSPI,55500,3.16,거래량 전일 3배↑,monitoring
A,8,동서,026960,KOSPI,29050,5.83,거래량 전일 3배↑,monitoring
A,8,에스원,012750,KOSPI,76400,0.92,거래량 전일 3배↑,monitoring
A,7,HD현대마린솔루션,443060,KOSPI,201000,0.6,거래량 전일 3배↑; VCP(변동성 축소 후 거래량 회복),monitoring
A,7,맥쿼리인프라,088980,KOSPI,11630,0.09,거래량 전일 3배↑; VCP(변동성 축소 후 거래량 회복),monitoring
A,7,산일전기,062040,KOSPI,149000,-1.32,거래량 전일 3배↑; VCP(변동성 축소 후 거래량 회복),monitoring
A,7,로보티즈,108490,KOSDAQ,301500,5.24,거래량 전일 3배↑,monitoring
A,7,KCC,002380,KOSPI,425000,-1.51,거래량 전일 3배↑; VCP(변동성 축소 후 거래량 회복),monitoring
A,6,HD현대중공업,329180,KOSPI,559000,-2.95,거래량 전일 3배↑,monitoring
A,6,고려아연,010130,KOSPI,1536000,2.26,VCP(변동성 축소 후 거래량 회복),monitoring
A,6,KT,030200,KOSPI,51300,-1.72,거래량 전일 3배↑; VCP(변동성 축소 후 거래량 회복),monitoring
A,6,포스코인터내셔널,047050,KOSPI,53600,-2.01,거래량 전일 3배↑; VCP(변동성 축소 후 거래량 회복),monitoring
B,5,LG에너지솔루션,373220,KOSPI,446000,0.0,거래량 2배↑; 저점 상승 추세,initial
B,5,HMM,011200,KOSPI,20400,0.74,20일 고점 95% 근접; 저점 상승 추세,initial
B,5,효성중공업,298040,KOSPI,1978000,-0.5,거래량 2배↑; 저점 상승 추세,initial
B,5,현대글로비스,086280,KOSPI,182600,0.27,20일 고점 95% 근접; 거래량 2배↑; 저점 상승 추세,initial
B,5,현대오토에버,307950,KOSPI,299000,1.01,20일 고점 95% 근접; 거래량 2배↑; 저점 상승 추세,initial
B,5,현대건설,000720,KOSPI,73600,2.51,거래량 2배↑; 저점 상승 추세; 당일 +2% 이상,initial
B,5,한미약품,128940,KOSPI,450000,2.74,거래량 2배↑; 당일 +2% 이상,initial
B,5,LG씨엔에스,064400,KOSPI,65400,0.77,20일 고점 95% 근접; 거래량 2배↑; 저점 상승 추세,initial
B,4,삼성전자우,005935,KOSPI,81400,-0.25,20일 고점 95% 근접; 저점 상승 추세,initial
B,4,삼성전자,005930,KOSPI,107300,-1.74,20일 고점 95% 근접; 저점 상승 추세,initial
B,4,HD한국조선해양,009540,KOSPI,445500,-0.67,20일 고점 95% 근접; 저점 상승 추세,initial
B,4,셀트리온,068270,KOSPI,186700,-0.32,거래량 2배↑,initial
B,4,삼성물산,028260,KOSPI,252000,-1.18,20일 고점 95% 근접; 저점 상승 추세,initial
B,4,HD현대일렉트릭,267260,KOSPI,846000,-2.53,20일 고점 95% 근접; 거래량 2배↑; 저점 상승 추세,initial
B,4,포스코퓨처엠,003670,KOSPI,222000,-1.33,20일 고점 95% 근접; 저점 상승 추세,initial
B,4,기업은행,024110,KOSPI,20650,-1.2,20일 고점 95% 근접; 거래량 2배↑; 저점 상승 추세,initial
B,4,대한항공,003490,KOSPI,22100,-1.34,20일 고점 95% 근접; 저점 상승 추세,initial
