타입,종목코드,종목명,시장,현재가,상승률
monitoring,214680,디알텍,KOSDAQ,2100,5.48
monitoring,067000,조이시티,KOSDAQ,2220,6.64
monitoring,217730,강스템바이오텍,KOSDAQ,1629,7.0
monitoring,322180,LS티라유텍,KOSDAQ,7180,7.24
monitoring,021080,에이티넘인베스트,KOSDAQ,3015,7.17
monitoring,014970,삼륭물산,KOSDAQ,9110,17.01
monitoring,424960,스마트레이더시스템,KOSDAQ,8690,9.89
monitoring,223250,드림씨아이에스,KOSDAQ,5680,21.51
monitoring,317830,에스피시스템스,KOSDAQ,12510,20.93
monitoring,010100,한국무브넥스,KOSPI,4385,10.98
monitoring,036630,세종텔레콤,KOSDAQ,13350,24.82
monitoring,140670,알에스오토메이션,KOSDAQ,14300,10.39
monitoring,056090,시지메드텍,KOSDAQ,1265,16.78
monitoring,101670,하이드로리튬,KOSDAQ,2365,7.38
monitoring,067830,세이브존I&C,KOSPI,3100,24.44
monitoring,002230,피에스텍,KOSDAQ,6400,48.9
monitoring,348150,고바이오랩,KOSDAQ,6330,17.25
monitoring,125020,티씨머티리얼즈,KOSDAQ,3415,6.22
monitoring,950220,네오이뮨텍,KOSDAQ,718,15.75
monitoring,010660,화천기계,KOSPI,5170,7.26
monitoring,000180,성창기업지주,KOSPI,1565,8.19
monitoring,085910,네오티스,KOSDAQ,7820,31.9
monitoring,026150,특수건설,KOSDAQ,6200,9.06
monitoring,380540,옵티코어,KOSDAQ,2100,26.03
monitoring,209640,와이제이링크,KOSDAQ,3560,26.68
monitoring,166480,코아스템켐온,KOSDAQ,1879,30.47
monitoring,059120,아진엑스텍,KOSDAQ,9700,17.63
monitoring,299170,더블유에스아이,KOSDAQ,2430,7.83
monitoring,228670,레이,KOSDAQ,5900,18.2
monitoring,265740,엔에프씨,KOSDAQ,4975,5.19
monitoring,372910,한컴라이프케어,KOSPI,3080,8.26
monitoring,001260,남광토건,KOSPI,8580,11.76
monitoring,365590,하이딥,KOSDAQ,542,15.82
monitoring,115440,우리넷,KOSDAQ,7510,5.56
monitoring,393970,대진첨단소재,KOSDAQ,5440,26.73
monitoring,038460,바이오스마트,KOSDAQ,3040,9.46
monitoring,002630,오리엔트바이오,KOSPI,644,5.2
monitoring,384470,코어라인소프트,KOSDAQ,4065,11.74
monitoring,419080,엔젯,KOSDAQ,6800,25.77
monitoring,155650,와이엠씨,KOSDAQ,3650,7.38
monitoring,003010,혜인,KOSPI,5530,5.98
monitoring,013700,까뮤이앤씨,KOSPI,1159,5.07
monitoring,37550L,DL이앤씨2우(전환),KOSPI,31800,7.17
monitoring,196300,HLB펩,KOSDAQ,7180,7.94
monitoring,064090,인크레더블버즈,KOSDAQ,1336,5.53
monitoring,058730,다스코,KOSPI,3465,8.67
monitoring,017180,명문제약,KOSPI,1887,7.78
monitoring,049550,잉크테크,KOSDAQ,3235,7.31
monitoring,100660,서암기계공업,KOSDAQ,5030,32.62
monitoring,340360,다보링크,KOSDAQ,1434,6.71
monitoring,471820,셀로맥스사이언스,KOSDAQ,5380,10.33
monitoring,066670,디티씨,KOSDAQ,3255,7.53
monitoring,159010,아스플로,KOSDAQ,4550,9.53
monitoring,000725,현대건설우,KOSPI,57400,6.15
monitoring,129890,앱코,KOSDAQ,1312,17.02
monitoring,171010,램테크놀러지,KOSDAQ,4150,5.75
monitoring,032960,동일기연,KOSDAQ,14310,5.46
monitoring,004440,삼일씨엔에스,KOSPI,4605,6.47
monitoring,066430,아이로보틱스,KOSDAQ,1453,21.41
monitoring,238120,얼라인드,KOSDAQ,3930,10.35
