class,score,종목명,종목코드,시장,현재가,today_return,이유,mode
B,4,기업은행,024110,KOSPI,21000,0.48,20일 고점 95% 근접; 저점 상승 추세,monitoring
B,4,SK,034730,KOSPI,266500,0.57,20일 고점 95% 근접; 저점 상승 추세,monitoring
B,4,두산로보틱스,454910,KOSPI,83800,0.96,20일 고점 95% 근접; 저점 상승 추세,monitoring
B,4,두산에너빌리티,034020,KOSPI,79500,1.02,20일 고점 95% 근접; 저점 상승 추세,monitoring
B,4,현대글로비스,086280,KOSPI,181700,0.33,20일 고점 95% 근접; 저점 상승 추세,monitoring
B,4,LG씨엔에스,064400,KOSPI,67650,1.12,20일 고점 95% 근접; 저점 상승 추세,monitoring
B,4,삼성물산,028260,KOSPI,257000,0.98,20일 고점 95% 근접; 저점 상승 추세,monitoring
B,4,HD현대인프라코어,042670,KOSPI,16900,1.08,20일 고점 95% 근접; 저점 상승 추세,monitoring
B,4,현대제철,004020,KOSPI,31250,1.13,20일 고점 95% 근접; 저점 상승 추세,monitoring
B,4,HD현대마린엔진,071970,KOSPI,87900,1.38,20일 고점 95% 근접; 저점 상승 추세,monitoring
B,4,금호석유화학,011780,KOSPI,122200,0.16,20일 고점 95% 근접; 저점 상승 추세,monitoring
B,4,현대엘리베이터,017800,KOSPI,92600,0.76,20일 고점 95% 근접; 저점 상승 추세,monitoring
B,4,KCC,002380,KOSPI,436500,1.28,20일 고점 95% 근접; 저점 상승 추세,monitoring
C,3,카카오뱅크,323410,KOSPI,21800,0.69,20일선 위,initial
C,3,삼성전기,009150,KOSPI,270500,-0.55,20일선 위,initial
C,3,삼성생명,032830,KOSPI,154700,-0.19,20일선 위,initial
C,3,현대오토에버,307950,KOSPI,294500,-2.32,20일선 위,initial
C,3,LS ELECTRIC,010120,KOSPI,511000,1.39,20일선 위,initial
C,3,한화,000880,KOSPI,84600,1.93,20일선 위,monitoring
C,3,삼성에스디에스,018260,KOSPI,174600,-0.51,20일선 위,initial
C,3,한화솔루션,009830,KOSPI,27900,0.72,20일선 위,initial
C,3,NH투자증권,005940,KOSPI,21100,1.2,20일선 위,initial
C,3,HD현대중공업,329180,KOSPI,565000,0.89,20일선 위,monitoring
C,3,한국타이어앤테크놀로지,161390,KOSPI,60200,0.67,20일선 위,initial
C,3,하이브,352820,KOSPI,300000,1.01,20일선 위,initial
C,3,현대차,005380,KOSPI,301000,0.67,20일선 위,initial
C,3,현대차2우B,005387,KOSPI,208500,1.21,20일선 위,initial
C,3,미래에셋증권,006800,KOSPI,22225,2.42,20일선 위; 당일 +2% 이상,initial
C,3,삼성증권,016360,KOSPI,80000,1.27,20일선 위,monitoring
C,3,SK하이닉스,000660,KOSPI,570000,0.88,20일선 위,initial
C,3,SK스퀘어,402340,KOSPI,313000,0.81,20일선 위,initial
C,3,고려아연,010130,KOSPI,1519000,-2.44,20일선 위,monitoring
C,3,LG이노텍,011070,KOSPI,294250,-0.76,20일선 위,initial
C,3,포스코퓨처엠,003670,KOSPI,220500,-1.34,20일선 위,initial
C,3,우리금융지주,316140,KOSPI,27900,-0.36,20일선 위,initial
C,3,DB하이텍,000990,KOSPI,66700,0.3,20일선 위,initial
C,3,산일전기,062040,KOSPI,149500,-0.2,20일선 위,monitoring
C,3,한전기술,052690,KOSPI,102100,-0.49,20일선 위,monitoring
C,3,포스코DX,022100,KOSPI,27600,0.91,20일선 위,initial
C,3,영원무역,111770,KOSPI,90100,0.11,20일선 위,initial
C,3,영원무역홀딩스,009970,KOSPI,197500,-3.42,20일선 위,monitoring
C,3,제일기획,030000,KOSPI,22850,-0.65,20일선 위,initial
C,2,셀트리온,068270,KOSPI,185900,-0.96,20일선 위,initial
C,2,LIG넥스원,079550,KOSPI,382500,1.32,다중 조건 충족,initial
C,2,엘앤에프,066970,KOSPI,126600,-1.48,20일선 위,initial
C,2,두산,000150,KOSPI,867000,1.17,다중 조건 충족,initial
C,2,LG전자,066570,KOSPI,95700,0.0,20일선 위,initial
C,2,HLB,028300,KOSDAQ,47950,-1.03,20일선 위,initial
C,2,포스코인터내셔널,047050,KOSPI,53600,-0.19,다중 조건 충족,monitoring
C,2,LG에너지솔루션,373220,KOSPI,442000,-0.67,20일선 위,initial
C,2,에이피알,278470,KOSPI,251500,-1.95,20일선 위,initial
C,2,에코프로머티,450080,KOSPI,62200,-1.11,20일선 위,initial
C,2,크래프톤,259960,KOSPI,245000,1.03,다중 조건 충족,initial
C,2,로보티즈,108490,KOSDAQ,302500,-0.33,20일선 위,monitoring
C,2,한미약품,128940,KOSPI,452500,-0.11,20일선 위,initial
C,2,S-Oil,010950,KOSPI,81700,0.37,다중 조건 충족,initial
C,2,SK텔레콤,017670,KOSPI,53500,-0.37,다중 조건 충족,initial
C,2,삼성SDI,006400,KOSPI,308500,-0.48,20일선 위,initial
C,2,한화오션,042660,KOSPI,114200,0.35,다중 조건 충족,initial
C,2,삼천당제약,000250,KOSDAQ,238000,-1.04,20일선 위,initial
C,2,HD현대마린솔루션,443060,KOSPI,201500,-0.98,20일선 위,monitoring
C,2,효성중공업,298040,KOSPI,1995000,-0.8,20일선 위,initial
C,2,에이비엘바이오,298380,KOSDAQ,197100,0.41,20일선 위,initial
C,2,CJ,001040,KOSPI,182150,-1.27,20일선 위,initial
C,2,강원랜드,035250,KOSPI,17825,-0.03,20일선 위,initial
C,2,오리온,271560,KOSPI,103600,1.17,다중 조건 충족,initial
