class,score,종목명,종목코드,시장,현재가,today_return,이유,mode
A,10,HD현대미포,010620,KOSPI,223000,2.23e+16,거래량 전일 3배↑; 장대양봉(몸통 70%+),monitoring
A,9,한화시스템,272210,KOSPI,52200,8.07,거래량 전일 3배↑,monitoring
A,7,한진칼,180640,KOSPI,119500,6.98,20일 고점 근접; 장대양봉(몸통 70%+),monitoring
A,7,KT,030200,KOSPI,52950,2.62,20일 고점 근접,monitoring
A,7,LS,006260,KOSPI,195500,5.56,장대양봉(몸통 70%+),monitoring
A,7,한국항공우주,047810,KOSPI,116100,4.59,VCP(변동성 축소 후 거래량 회복),monitoring
A,7,현대건설,000720,KOSPI,77300,3.07,20일 고점 근접,monitoring
A,6,현대차우,005385,KOSPI,207000,1.72,다중 조건 충족,monitoring
A,6,LG,003550,KOSPI,83800,1.7,다중 조건 충족,monitoring
A,6,한국금융지주,071050,KOSPI,166700,4.84,장대양봉(몸통 70%+),monitoring
A,6,삼성카드,029780,KOSPI,58700,5.77,20일 고점 근접; 장대양봉(몸통 70%+),monitoring
A,6,대한전선,001440,KOSPI,23250,4.03,장대양봉(몸통 70%+),monitoring
B,5,키움증권,039490,KOSPI,287500,2.31,20일 고점 95% 근접; 저점 상승 추세; 당일 +2% 이상,monitoring
B,5,현대모비스,012330,KOSPI,376000,3.87,20일 고점 95% 근접; 저점 상승 추세; 당일 +2% 이상,monitoring
B,5,JB금융지주,175330,KOSPI,25300,2.22,20일 고점 95% 근접; 저점 상승 추세; 당일 +2% 이상,monitoring
B,5,레인보우로보틱스,277810,KOSDAQ,482500,2.22,20일 고점 95% 근접; 저점 상승 추세; 당일 +2% 이상,monitoring
B,5,두산밥캣,241560,KOSPI,62500,3.48,20일 고점 95% 근접; 저점 상승 추세; 당일 +2% 이상,monitoring
B,5,메리츠금융지주,138040,KOSPI,110600,1.56,저점 상승 추세,monitoring
B,5,POSCO홀딩스,005490,KOSPI,318500,2.41,20일 고점 95% 근접; 저점 상승 추세; 당일 +2% 이상,monitoring
B,4,삼성전자우,005935,KOSPI,82200,0.12,20일 고점 95% 근접; 저점 상승 추세,monitoring
B,4,HD현대,267250,KOSPI,206750,2.35,저점 상승 추세; 당일 +2% 이상,monitoring
B,4,대한항공,003490,KOSPI,22450,0.67,20일 고점 95% 근접; 저점 상승 추세,monitoring
B,4,BNK금융지주,138930,KOSPI,15380,0.2,20일 고점 95% 근접; 저점 상승 추세,monitoring
B,4,기아,000270,KOSPI,125000,1.3,20일 고점 95% 근접; 저점 상승 추세,monitoring
B,4,HD한국조선해양,009540,KOSPI,448500,0.11,20일 고점 95% 근접; 저점 상승 추세,monitoring
B,4,HD현대일렉트릭,267260,KOSPI,872000,1.99,20일 고점 95% 근접; 저점 상승 추세,monitoring
B,4,삼성전자,005930,KOSPI,108050,0.89,20일 고점 95% 근접; 저점 상승 추세,monitoring
B,4,현대로템,064350,KOSPI,185500,2.6,저점 상승 추세; 당일 +2% 이상,monitoring
B,4,삼성중공업,010140,KOSPI,26200,0.58,20일 고점 95% 근접; 저점 상승 추세,monitoring
B,4,HMM,011200,KOSPI,20600,0.49,20일 고점 95% 근접; 저점 상승 추세,monitoring
B,4,맥쿼리인프라,088980,KOSPI,11680,0.43,20일 고점 95% 근접; 저점 상승 추세,monitoring
B,4,한화에어로스페이스,012450,KOSPI,945000,2.16,저점 상승 추세; 당일 +2% 이상,monitoring
