종목코드,종목명,시장,현재가,20일평균,상승률,거래량,평균거래량,거래량비율,신규여부,최초발견일,발견횟수,연속발견횟수
012330,현대모비스,KOSPI,363500,318200,14.24,202011,254078,0.8,False,2025-12-11,10,1
005935,삼성전자우,KOSPI,81400,76965,5.76,1374733,2290600,0.6,False,2025-12-11,10,1
000270,기아,KOSPI,123200,117110,5.2,503688,866545,0.58,False,2025-12-11,10,1
005380,현대차,KOSPI,297000,275050,7.98,889795,915676,0.97,False,2025-12-11,10,1
267260,HD현대일렉트릭,KOSPI,856000,804850,6.36,102171,147424,0.69,False,2025-12-11,11,1
010130,고려아연,KOSPI,1518000,1264250,20.07,18788,30330,0.62,False,2025-12-11,10,1
009150,삼성전기,KOSPI,273500,243925,12.12,463696,647862,0.72,False,2025-12-11,10,1
003670,포스코퓨처엠,KOSPI,216000,205665,5.03,202143,288522,0.7,False,2025-12-11,10,1
247540,에코프로비엠,KOSDAQ GLOBAL,172900,155005,11.54,451102,560691,0.8,False,2025-12-11,10,1
066570,LG전자,KOSPI,95700,89805,6.56,399518,698223,0.57,False,2025-12-11,11,1
086520,에코프로,KOSDAQ GLOBAL,113300,91780,23.45,2797335,4439799,0.63,False,2025-12-11,10,1
010120,LS ELECTRIC,KOSPI,506000,473400,6.89,104543,197470,0.53,False,2025-12-11,10,1
086280,현대글로비스,KOSPI,179500,168275,6.67,134191,151281,0.89,False,2025-12-11,10,1
007660,이수페타시스,KOSPI,150100,135770,10.55,1517760,2021833,0.75,False,2025-12-11,10,1
298380,에이비엘바이오,KOSDAQ,196700,184005,6.9,580697,1601063,0.36,False,2025-12-11,10,1
277810,레인보우로보틱스,KOSDAQ,466500,413050,12.94,207797,257336,0.81,False,2025-12-11,10,1
000720,현대건설,KOSPI,74900,66240,13.07,2530691,1822691,1.39,False,2025-12-11,10,1
307950,현대오토에버,KOSPI,293500,223525,31.31,228992,286530,0.8,False,2025-12-11,10,1
028260,삼성물산,KOSPI,251000,231475,8.44,164259,366050,0.45,False,2025-12-11,10,1
180640,한진칼,KOSPI,109900,103270,6.42,33415,81390,0.41,False,2025-12-11,10,1
064400,LG씨엔에스,KOSPI,64300,59535,8.0,1137852,1119000,1.02,False,2025-12-11,10,1
011070,LG이노텍,KOSPI,296500,255400,16.09,120809,154397,0.78,False,2025-12-11,10,1
950160,코오롱티슈진,KOSDAQ,81400,71620,13.66,256353,954102,0.27,False,2025-12-11,10,1
005930,삼성전자,KOSPI,108400,102340,5.92,10512299,17357922,0.61,False,2025-12-11,10,1
454910,두산로보틱스,KOSPI,82500,76305,8.12,378731,423381,0.89,False,2025-12-11,10,1
000250,삼천당제약,KOSDAQ,235000,220250,6.7,84558,129805,0.65,False,2025-12-11,10,1
062040,산일전기,KOSPI,149700,142550,5.02,427025,348011,1.23,False,2025-12-11,10,1
108490,로보티즈,KOSDAQ,297000,236990,25.32,1427370,1011312,1.41,False,2025-12-11,10,1
052690,한전기술,KOSPI,101800,92970,9.5,407586,173362,2.35,False,2025-12-11,8,1
214150,클래시스,KOSDAQ GLOBAL,59100,55715,6.08,276889,239740,1.15,False,2025-12-11,9,1
439260,대한조선,KOSPI,76500,68990,10.89,481797,564576,0.85,False,2025-12-11,7,1
017800,현대엘리베이터,KOSPI,92000,85810,7.21,141529,315693,0.45,False,2025-12-11,8,1
042670,HD현대인프라코어,KOSPI,16610,14627,13.56,2341712,1114031,2.1,False,2025-12-11,11,1
026960,동서,KOSPI,29250,27690,5.63,325790,111546,2.92,False,2025-12-11,2,1
103590,일진전기,KOSPI,58500,55015,6.33,2999809,664120,4.52,False,2025-12-11,5,1
