타입,종목코드,종목명,시장,현재가,상승률
monitoring,005930,삼성전자,KOSPI,108100,5.64
monitoring,005935,삼성전자우,KOSPI,81200,5.52
monitoring,005380,현대차,KOSPI,296000,7.64
monitoring,000270,기아,KOSPI,123500,5.44
monitoring,028260,삼성물산,KOSPI,251500,8.64
monitoring,012330,현대모비스,KOSPI,363000,14.09
monitoring,267260,HD현대일렉트릭,KOSPI,850000,5.65
monitoring,010130,고려아연,KOSPI,1530000,20.96
monitoring,009150,삼성전기,KOSPI,272000,11.54
monitoring,003670,포스코퓨처엠,KOSPI,220500,7.1
monitoring,247540,에코프로비엠,KOSDAQ GLOBAL,173900,12.15
monitoring,066570,LG전자,KOSPI,95500,6.35
monitoring,086520,에코프로,KOSDAQ GLOBAL,112900,23.04
monitoring,010120,LS ELECTRIC,KOSPI,501000,5.89
monitoring,086280,현대글로비스,KOSPI,180800,7.4
monitoring,298380,에이비엘바이오,KOSDAQ,198100,7.62
monitoring,007660,이수페타시스,KOSPI,149500,10.14
monitoring,277810,레인보우로보틱스,KOSDAQ,470500,13.85
monitoring,000720,현대건설,KOSPI,73900,11.65
monitoring,307950,현대오토에버,KOSPI,298500,33.39
monitoring,180640,한진칼,KOSPI,111700,8.07
monitoring,011070,LG이노텍,KOSPI,296250,16.0
monitoring,950160,코오롱티슈진,KOSDAQ,81600,13.92
monitoring,064400,LG씨엔에스,KOSPI,64600,8.48
monitoring,454910,두산로보틱스,KOSPI,82600,8.24
monitoring,000250,삼천당제약,KOSDAQ,235500,6.91
monitoring,108490,로보티즈,KOSDAQ,303500,27.89
monitoring,022100,포스코DX,KOSPI,27250,5.3
monitoring,214150,클래시스,KOSDAQ GLOBAL,59200,6.25
monitoring,017800,현대엘리베이터,KOSPI,91800,6.99
monitoring,026960,동서,KOSPI,29850,7.68
monitoring,439260,대한조선,KOSPI,76700,11.16
monitoring,071970,HD현대마린엔진,KOSPI,86200,5.83
monitoring,226950,올릭스,KOSDAQ,141500,8.44
monitoring,009970,영원무역홀딩스,KOSPI,204500,14.51
monitoring,009420,한올바이오파마,KOSPI,50600,5.63
monitoring,004170,신세계,KOSPI,255500,10.58
monitoring,030530,원익홀딩스,KOSDAQ,30050,16.9
monitoring,039200,오스코텍,KOSDAQ,59800,5.38
monitoring,160190,하이젠알앤엠,KOSDAQ,61700,13.86
monitoring,098460,고영,KOSDAQ,27100,18.63
monitoring,267270,HD현대건설기계,KOSPI,105400,11.52
monitoring,006280,녹십자,KOSPI,152300,12.29
monitoring,065350,신성델타테크,KOSDAQ,63000,9.48
monitoring,290650,엘앤씨바이오,KOSDAQ,66400,12.19
