테마번호,테마명,전일대비,최근3일등락률,상승,보합,하락,주도주1,주도주1코드,주도주2,주도주2코드,페이지
229,스마트그리드(지능형전력망),-0.75%,+0.84%,8,1,11,피에스텍,002230,아이앤씨,052860,6
210,자전거,-0.78%,-0.49%,0,0,3,빅텍,065450,삼천리자전..,024950,6
250,철도,-0.78%,+0.99%,11,1,30,다원시스,068240,폴라리스A..,039980,6
352,가상현실(VR),-0.78%,+0.03%,8,1,20,동운아나텍,094170,위지윅스튜..,299900,6
503,2차전지(LFP/리튬인산철),-0.78%,+0.93%,2,0,10,파워넷,037030,소프트센,032680,6
123,전력설비,-0.80%,+0.46%,6,0,27,LS EL..,010120,일진전기,103590,6
147,여행,-0.80%,-0.08%,2,0,7,SM C&..,048550,그래디언트,035080,6
392,스마트팩토리(스마트공장),-0.80%,+0.55%,9,1,28,유일로보틱..,388720,라온테크,232680,6
297,공작기계,-0.81%,+1.56%,5,1,7,화천기계,010660,한국주강,025890,6
200,우주항공산업(누리호/인공위성 등),-0.82%,+0.84%,9,1,21,이노스페이..,462350,에이치브이..,295310,6
566,딥페이크(deepfake),-0.83%,+0.22%,6,0,8,시선AI,340810,이스트소프..,047560,6
318,백화점,-0.84%,-0.27%,1,0,5,광주신세계,037710,현대백화점,069960,6
30,조선,-0.86%,+1.54%,1,1,6,대한조선,439260,HD현대미..,010620,6
539,맥신(MXene),-0.86%,+0.53%,1,0,9,센코,347000,태경산업,015890,6
546,마이코플라스마 폐렴,-0.86%,+0.12%,2,2,8,DXVX,180400,멕아이씨에..,058110,6
325,종합상사,-0.89%,+0.10%,2,0,6,GS글로벌,001250,LX인터내..,001120,6
380,면세점,-0.90%,-0.15%,0,0,8,JTC,950170,현대백화점,069960,6
560,냉각시스템(액침냉각 등),-0.92%,+0.84%,3,0,8,한중엔시에..,107640,GST,083450,6
178,전선,-0.93%,+0.56%,1,0,7,일진전기,103590,가온전선,000500,6
523,리튬,-0.94%,+1.50%,4,1,18,강원에너지,114190,유일에너테..,340930,6
151,증권,-0.96%,-0.32%,1,1,19,코리아에셋..,190650,LS증권,078020,6
136,소매유통,-0.97%,-0.35%,4,1,15,CJ EN..,035760,오아,342870,6
379,항공기부품,-0.98%,+0.72%,4,2,8,아스트,067390,솔디펜스,215090,7
166,항공/저가 항공사(LCC),-1.06%,+0.90%,0,0,9,티웨이항공,091810,제주항공,089590,7
188,풍력에너지,-1.06%,+1.37%,6,3,27,포메탈,119500,서암기계공..,100660,7
407,호텔/리조트,-1.08%,+0.63%,2,0,12,제이에스코..,194370,HDC현대..,294870,7
462,UAM(도심항공모빌리티),-1.09%,+0.79%,5,1,19,네온테크,306620,기산텔레콤,035460,7
242,탄소나노튜브(CNT),-1.10%,+0.42%,1,0,4,상보,027580,금호석유화..,011780,7
422,日 수출 규제(국산화 등),-1.11%,+0.92%,2,0,18,삼양엔씨켐,482630,켐트로스,220260,7
164,손해보험,-1.12%,-0.54%,1,0,7,코리안리,003690,서울보증보..,031210,7
