종목코드,종목명,시장,현재가,20일평균,상승률,거래량,평균거래량,거래량비율,신규여부,최초발견일,발견횟수,연속발견횟수
059100,아이컴포넌트,KOSDAQ,5130,4856,5.64,10990,18038,0.61,True,2025-12-11,1,1
048770,TPC,KOSDAQ,2300,2181,5.42,33460,102161,0.33,True,2025-12-11,1,1
214610,롤링스톤,KOSDAQ,4225,3854,9.61,2950,34217,0.09,True,2025-12-11,1,1
398120,에스지헬스케어,KOSDAQ,3105,2935,5.78,20979,35833,0.59,True,2025-12-11,1,1
228340,동양파일,KOSDAQ,1722,1633,5.42,16022,16907,0.95,True,2025-12-11,1,1
145210,다이나믹디자인,KOSPI,900,835,7.73,20831,153564,0.14,True,2025-12-11,1,1
377330,이지트로닉스,KOSDAQ,4020,3777,6.42,6913,13326,0.52,True,2025-12-11,1,1
290560,신시웨이,KOSDAQ,8410,7296,15.27,39462,59288,0.67,True,2025-12-11,1,1
032680,소프트센,KOSDAQ,293,275,6.22,205766,681091,0.3,True,2025-12-11,1,1
140430,카티스,KOSDAQ,1562,1460,6.92,432251,3963533,0.11,True,2025-12-11,1,1
317240,TS트릴리온,KOSDAQ,250,228,9.36,2810737,2118058,1.33,True,2025-12-11,1,1
012340,뉴인텍,KOSDAQ,541,450,20.14,5840109,2717001,2.15,True,2025-12-11,1,1
478780,대신밸런스제18호스팩,KOSDAQ,3450,3029,13.9,60748,176813,0.34,True,2025-12-11,1,1
014910,성문전자,KOSPI,1152,1084,6.23,29729,37210,0.8,True,2025-12-11,1,1
389680,유디엠텍,KOSDAQ,611,490,24.53,7450561,550778,13.53,True,2025-12-11,1,1
448760,IBKS제22호스팩,KOSDAQ,5720,4859,17.7,281369,720195,0.39,False,2025-12-11,2,1
192390,윈하이텍,KOSDAQ,2310,2162,6.83,6848,21245,0.32,True,2025-12-11,1,1
076610,해성옵틱스,KOSDAQ,562,526,6.68,191033,257244,0.74,True,2025-12-11,1,1
331920,셀레믹스,KOSDAQ,2915,2718,7.24,262388,32280,8.13,True,2025-12-11,1,1
