종목코드,종목명,시장,현재가,20일평균,상승률,거래량,평균거래량,거래량비율,신규여부,최초발견일,발견횟수,연속발견횟수
267260,HD현대일렉트릭,KOSPI,856000,804850,6.36,80558,146344,0.55,False,2025-12-11,9,1
012330,현대모비스,KOSPI,364500,318250,14.53,164222,252188,0.65,False,2025-12-11,8,1
000270,기아,KOSPI,123500,117125,5.44,403840,861553,0.47,False,2025-12-11,8,1
005930,삼성전자,KOSPI,108250,102332,5.78,8325708,17248592,0.48,False,2025-12-11,8,1
005380,현대차,KOSPI,300000,275200,9.01,616042,901989,0.68,False,2025-12-11,8,1
028260,삼성물산,KOSPI,252000,231525,8.84,130801,364377,0.36,False,2025-12-11,8,1
005935,삼성전자우,KOSPI,81700,76980,6.13,1126477,2278187,0.49,False,2025-12-11,8,1
010130,고려아연,KOSPI,1537000,1265200,21.48,15152,30148,0.5,False,2025-12-11,8,1
009150,삼성전기,KOSPI,276000,244050,13.09,386751,644015,0.6,False,2025-12-11,8,1
003670,포스코퓨처엠,KOSPI,218500,205790,6.18,156834,286256,0.55,False,2025-12-11,8,1
247540,에코프로비엠,KOSDAQ GLOBAL,174300,155075,12.4,349576,555615,0.63,False,2025-12-11,8,1
066570,LG전자,KOSPI,95500,89795,6.35,314874,693991,0.45,False,2025-12-11,9,1
086280,현대글로비스,KOSPI,178700,168235,6.22,92835,149213,0.62,False,2025-12-11,8,1
086520,에코프로,KOSDAQ GLOBAL,114100,91820,24.26,2234223,4411643,0.51,False,2025-12-11,8,1
010120,LS ELECTRIC,KOSPI,507000,473450,7.09,86263,196556,0.44,False,2025-12-11,8,1
298380,에이비엘바이오,KOSDAQ,198500,184095,7.82,378997,1590978,0.24,False,2025-12-11,8,1
007660,이수페타시스,KOSPI,153100,135920,12.64,1213341,2006612,0.6,False,2025-12-11,8,1
277810,레인보우로보틱스,KOSDAQ,473500,413400,14.54,166536,255273,0.65,False,2025-12-11,8,1
307950,현대오토에버,KOSPI,300000,223850,34.02,179055,284033,0.63,False,2025-12-11,8,1
000720,현대건설,KOSPI,74500,66220,12.5,2194025,1805858,1.21,False,2025-12-11,8,1
180640,한진칼,KOSPI,110400,103295,6.88,21552,80796,0.27,False,2025-12-11,8,1
064400,LG씨엔에스,KOSPI,64800,59560,8.8,886450,1106430,0.8,False,2025-12-11,8,1
950160,코오롱티슈진,KOSDAQ,81900,71645,14.31,219190,952244,0.23,False,2025-12-11,8,1
011070,LG이노텍,KOSPI,297500,255450,16.46,98185,153266,0.64,False,2025-12-11,8,1
454910,두산로보틱스,KOSPI,83000,76330,8.74,320488,420468,0.76,False,2025-12-11,8,1
062040,산일전기,KOSPI,150100,142570,5.28,353954,344357,1.03,False,2025-12-11,8,1
000250,삼천당제약,KOSDAQ,236500,220325,7.34,66626,128908,0.52,False,2025-12-11,8,1
108490,로보티즈,KOSDAQ,302500,237265,27.49,1286989,1004293,1.28,False,2025-12-11,8,1
214150,클래시스,KOSDAQ GLOBAL,59100,55715,6.08,230717,237431,0.97,False,2025-12-11,7,1
082740,한화엔진,KOSPI,45650,43125,5.86,476434,929032,0.51,False,2025-12-11,5,1
052690,한전기술,KOSPI,100700,92915,8.38,317198,168842,1.88,False,2025-12-11,6,1
439260,대한조선,KOSPI,76700,69000,11.16,345003,557737,0.62,False,2025-12-11,6,1
042670,HD현대인프라코어,KOSPI,16670,14630,13.94,2040598,1098976,1.86,False,2025-12-11,9,1
071970,HD현대마린엔진,KOSPI,86500,81470,6.17,55678,254012,0.22,False,2025-12-11,6,1
237690,에스티팜,KOSDAQ GLOBAL,128600,111495,15.34,159516,220265,0.72,False,2025-12-11,2,1
009970,영원무역홀딩스,KOSPI,200500,178385,12.4,16090,20034,0.8,False,2025-12-11,2,1
069410,엔텔스,KOSDAQ,5190,4880,6.35,11392,31901,0.36,True,2025-12-11,1,1
060850,영림원소프트랩,KOSDAQ,6510,6156,5.74,7454,14642,0.51,True,2025-12-11,1,1
469750,아이비젼웍스,KOSDAQ,1579,1300,21.38,4007433,5447529,0.74,True,2025-12-11,1,1
033560,블루콤,KOSDAQ,3000,2848,5.33,18506,27093,0.68,True,2025-12-11,1,1
002290,삼일기업공사,KOSDAQ,4040,3810,6.02,33786,291557,0.12,True,2025-12-11,1,1
096690,에이루트,KOSDAQ,2090,1916,9.06,35567,77490,0.46,True,2025-12-11,1,1
000760,이화산업,KOSPI,17670,15130,16.79,70162,157805,0.44,True,2025-12-11,1,1
040160,누리플렉스,KOSDAQ,4045,3467,16.65,31385,49759,0.63,True,2025-12-11,1,1
067170,오텍,KOSDAQ,2010,1896,5.99,80158,444984,0.18,True,2025-12-11,1,1
128540,에코캡,KOSDAQ,1796,1689,6.29,38394,198061,0.19,True,2025-12-11,1,1
204020,그리티,KOSDAQ,2385,2192,8.79,100820,71160,1.42,True,2025-12-11,1,1
317530,캐리소프트,KOSDAQ,4600,4233,8.66,5620,69871,0.08,True,2025-12-11,1,1
464580,닷밀,KOSDAQ,2490,2338,6.47,992350,1114197,0.89,True,2025-12-11,1,1
307280,원바이오젠,KOSDAQ,6270,5875,6.71,23584,59894,0.39,True,2025-12-11,1,1
353590,오토앤,KOSDAQ,3465,3207,8.04,47719,575251,0.08,True,2025-12-11,1,1
340440,세림B&G,KOSDAQ,1623,1478,9.75,518725,2580445,0.2,True,2025-12-11,1,1
232830,아이티센피엔에스,KOSDAQ,2620,2245,16.69,150146,72420,2.07,True,2025-12-11,1,1
104200,NHN벅스,KOSDAQ,2890,2665,8.44,133301,315078,0.42,True,2025-12-11,1,1
012200,계양전기,KOSPI,1572,1440,9.14,69739,125325,0.56,True,2025-12-11,1,1
043100,알파AI,KOSDAQ,2085,1825,14.23,242075,603307,0.4,True,2025-12-11,1,1
457600,벡트,KOSDAQ,3065,2415,26.88,3495987,413936,8.45,True,2025-12-11,1,1
011090,에넥스,KOSPI,664,533,24.47,11145621,3019250,3.69,True,2025-12-11,1,1
017000,신원종합개발,KOSDAQ,3405,2799,21.64,4111709,869912,4.73,True,2025-12-11,1,1
123010,아이윈플러스,KOSDAQ,1217,1078,12.84,473249,335955,1.41,True,2025-12-11,1,1
210120,캔버스엔,KOSDAQ,1620,1437,12.68,141248,1335439,0.11,True,2025-12-11,1,1
119500,포메탈,KOSDAQ,3240,3024,7.14,144301,117481,1.23,True,2025-12-11,1,1
137080,나래나노텍,KOSDAQ,3395,3151,7.72,10612,19781,0.54,True,2025-12-11,1,1
130500,GH신소재,KOSDAQ,2605,2472,5.38,24943,39773,0.63,True,2025-12-11,1,1
007815,코리아써우,KOSPI,12820,10834,18.33,24936,106636,0.23,True,2025-12-11,1,1
276040,스코넥,KOSDAQ,1703,1526,11.55,86974,451054,0.19,True,2025-12-11,1,1
002420,세기상사,KOSPI,6090,5456,11.62,212109,411347,0.52,True,2025-12-11,1,1
258790,소프트캠프,KOSDAQ,1449,1333,8.67,525357,1401188,0.37,True,2025-12-11,1,1
